Year, Month, Interannual_Variation, Five_Month_Average
1975,1,-0.150,
1975,2,-0.022,
1975,3,-0.024,-0.041,
1975,4,0.016,-0.011,
1975,5,-0.028,-0.012,
1975,6,0.003,-0.014,
1975,7,-0.029,-0.031,
1975,8,-0.032,-0.039,
1975,9,-0.067,-0.060,
1975,10,-0.071,-0.077,
1975,11,-0.103,-0.095,
1975,12,-0.111,-0.089,
1976,1,-0.121,-0.094,
1976,2,-0.042,-0.074,
1976,3,-0.093,-0.051,
1976,4,-0.004,-0.026,
1976,5,0.006,-0.017,
1976,6,0.001,-0.002,
1976,7,0.006,0.006,
1976,8,-0.021,0.008,
1976,9,0.041,0.019,
1976,10,0.015,0.031,
1976,11,0.056,0.036,
1976,12,0.064,0.012,
1977,1,0.005,-0.013,
1977,2,-0.081,-0.035,
1977,3,-0.107,-0.059,
1977,4,-0.058,-0.062,
1977,5,-0.055,-0.057,
1977,6,-0.011,-0.037,
1977,7,-0.054,-0.021,
1977,8,-0.005,-0.009,
1977,9,0.020,-0.009,
1977,10,0.007,0.012,
1977,11,-0.013,0.038,
1977,12,0.053,0.055,
1978,1,0.122,0.080,
1978,2,0.106,0.098,
1978,3,0.131,0.078,
1978,4,0.077,0.035,
1978,5,-0.045,0.002,
1978,6,-0.095,-0.029,
1978,7,-0.056,-0.054,
1978,8,-0.025,-0.047,
1978,9,-0.049,-0.029,
1978,10,-0.010,-0.030,
1978,11,-0.002,-0.019,
1978,12,-0.065,-0.009,
1979,1,0.031,-0.005,
1979,2,0.004,-0.010,
1979,3,0.010,-0.001,
1979,4,-0.029,-0.014,
1979,5,-0.022,-0.021,
1979,6,-0.034,-0.029,
1979,7,-0.032,-0.028,
1979,8,-0.027,-0.024,
1979,9,-0.027,-0.023,
1979,10,-0.000,-0.014,
1979,11,-0.029,0.004,
1979,12,0.014,0.037,
1980,1,0.060,0.037,
1980,2,0.139,0.038,
1980,3,0.002,0.030,
1980,4,-0.025,0.013,
1980,5,-0.027,-0.021,
1980,6,-0.027,-0.020,
1980,7,-0.031,-0.018,
1980,8,0.010,-0.020,
1980,9,-0.014,-0.022,
1980,10,-0.036,-0.014,
1980,11,-0.041,-0.004,
1980,12,0.012,-0.004,
1981,1,0.061,0.004,
1981,2,-0.016,0.006,
1981,3,0.003,0.001,
1981,4,-0.030,-0.020,
1981,5,-0.011,-0.018,
1981,6,-0.047,-0.027,
1981,7,-0.008,-0.032,
1981,8,-0.041,-0.032,
1981,9,-0.055,-0.017,
1981,10,-0.010,-0.019,
1981,11,0.030,-0.009,
1981,12,-0.017,0.003,
1982,1,0.009,0.030,
1982,2,0.001,0.037,
1982,3,0.126,0.053,
1982,4,0.068,0.059,
1982,5,0.060,0.057,
1982,6,0.043,0.033,
1982,7,-0.010,0.031,
1982,8,0.005,0.032,
1982,9,0.058,0.065,
1982,10,0.063,0.088,
1982,11,0.208,0.125,
1982,12,0.103,0.153,
1983,1,0.190,0.180,
1983,2,0.202,0.172,
1983,3,0.194,0.169,
1983,4,0.170,0.152,
1983,5,0.089,0.126,
1983,6,0.105,0.111,
1983,7,0.073,0.110,
1983,8,0.116,0.114,
1983,9,0.166,0.118,
1983,10,0.110,0.120,
1983,11,0.124,0.097,
1983,12,0.082,0.059,
1984,1,0.005,0.035,
1984,2,-0.029,0.001,
1984,3,-0.006,-0.023,
1984,4,-0.049,-0.021,
1984,5,-0.036,-0.002,
1984,6,0.014,0.008,
1984,7,0.068,0.033,
1984,8,0.041,0.034,
1984,9,0.075,0.044,
1984,10,-0.029,0.036,
1984,11,0.064,0.026,
1984,12,0.028,-0.004,
1985,1,-0.006,-0.014,
1985,2,-0.079,-0.026,
1985,3,-0.078,-0.039,
1985,4,0.004,-0.032,
1985,5,-0.038,-0.015,
1985,6,0.033,-0.006,
1985,7,0.005,-0.000,
1985,8,-0.031,0.003,
1985,9,0.030,-0.004,
1985,10,-0.019,-0.008,
1985,11,-0.005,0.002,
1985,12,-0.013,0.015,
1986,1,0.019,0.035,
1986,2,0.095,0.037,
1986,3,0.077,0.042,
1986,4,0.008,0.033,
1986,5,0.009,0.018,
1986,6,-0.024,0.003,
1986,7,0.017,0.001,
1986,8,0.006,0.002,
1986,9,-0.002,0.006,
1986,10,0.012,0.012,
1986,11,-0.004,0.005,
1986,12,0.048,0.012,
1987,1,-0.028,0.014,
1987,2,0.032,0.014,
1987,3,0.020,0.019,
1987,4,-0.003,0.026,
1987,5,0.074,0.023,
1987,6,0.007,0.029,
1987,7,0.018,0.030,
1987,8,0.047,0.021,
1987,9,0.002,0.024,
1987,10,0.032,0.020,
1987,11,0.021,-0.001,
1987,12,0.000,-0.014,
1988,1,-0.058,-0.039,
1988,2,-0.064,-0.040,
1988,3,-0.091,-0.053,
1988,4,0.012,-0.051,
1988,5,-0.063,-0.040,
1988,6,-0.047,-0.021,
1988,7,-0.014,-0.035,
1988,8,0.005,-0.035,
1988,9,-0.058,-0.041,
1988,10,-0.062,-0.062,
