Year, Month, Interannual_Variation, Five_Month_Average
1972,1,-0.036,
1972,2,0.048,
1972,3,0.072,0.038,
1972,4,0.089,0.058,
1972,5,0.016,0.061,
1972,6,0.063,0.056,
1972,7,0.066,0.045,
1972,8,0.048,0.035,
1972,9,0.033,0.024,
1972,10,-0.036,0.020,
1972,11,0.007,0.025,
1972,12,0.047,0.020,
1973,1,0.076,0.029,
1973,2,0.007,-0.005,
1973,3,0.006,-0.026,
1973,4,-0.159,-0.048,
1973,5,-0.060,-0.062,
1973,6,-0.033,-0.074,
1973,7,-0.065,-0.054,
1973,8,-0.053,-0.051,
1973,9,-0.059,-0.034,
1973,10,-0.044,0.005,
1973,11,0.051,0.017,
1973,12,0.130,0.030,
1974,1,0.007,0.061,
1974,2,0.005,0.063,
1974,3,0.112,0.038,
1974,4,0.062,0.042,
1974,5,0.006,0.047,
1974,6,0.023,0.021,
1974,7,0.034,0.005,
1974,8,-0.019,-0.014,
1974,9,-0.019,-0.025,
1974,10,-0.091,-0.039,
1974,11,-0.030,-0.054,
1974,12,-0.033,-0.044,
1975,1,-0.095,-0.026,
1975,2,0.028,-0.031,
1975,3,-0.000,-0.038,
1975,4,-0.053,-0.027,
1975,5,-0.070,-0.035,
1975,6,-0.040,-0.040,
1975,7,-0.010,-0.044,
1975,8,-0.027,-0.017,
1975,9,-0.072,-0.009,
1975,10,0.062,-0.028,
1975,11,0.004,-0.045,
1975,12,-0.105,-0.036,
1976,1,-0.113,-0.065,
1976,2,-0.026,-0.071,
1976,3,-0.087,-0.059,
1976,4,-0.024,-0.043,
1976,5,-0.046,-0.034,
1976,6,-0.033,-0.016,
1976,7,0.019,-0.010,
1976,8,0.005,-0.008,
1976,9,0.005,-0.025,
1976,10,-0.036,-0.044,
1976,11,-0.119,-0.069,
1976,12,-0.073,-0.084,
1977,1,-0.123,-0.095,
1977,2,-0.067,-0.100,
1977,3,-0.095,-0.078,
1977,4,-0.139,-0.060,
1977,5,0.037,-0.055,
1977,6,-0.034,-0.039,
1977,7,-0.041,-0.003,
1977,8,-0.018,-0.006,
1977,9,0.043,0.006,
1977,10,0.020,0.039,
1977,11,0.029,0.073,
1977,12,0.123,0.088,
1978,1,0.153,0.087,
1978,2,0.117,0.092,
1978,3,0.012,0.062,
1978,4,0.054,0.029,
1978,5,-0.026,-0.001,
1978,6,-0.015,-0.004,
1978,7,-0.031,-0.009,
1978,8,-0.004,-0.016,
1978,9,0.032,-0.039,
1978,10,-0.062,-0.063,
1978,11,-0.129,-0.088,
1978,12,-0.153,-0.081,
1979,1,-0.127,-0.075,
1979,2,0.066,-0.052,
1979,3,-0.035,-0.028,
1979,4,-0.011,-0.016,
1979,5,-0.034,-0.032,
1979,6,-0.069,-0.029,
1979,7,-0.012,-0.027,
1979,8,-0.021,-0.012,
1979,9,0.003,-0.008,
1979,10,0.037,0.004,
1979,11,-0.045,0.012,
1979,12,0.047,0.021,
1980,1,0.017,0.012,
1980,2,0.050,0.022,
1980,3,-0.006,0.012,
1980,4,0.005,0.012,
1980,5,-0.005,-0.006,
1980,6,0.018,-0.008,
1980,7,-0.040,-0.011,
1980,8,-0.017,-0.021,
1980,9,-0.011,-0.031,
1980,10,-0.057,-0.014,
1980,11,-0.029,-0.004,
1980,12,0.042,-0.001,
1981,1,0.034,0.004,
1981,2,0.005,0.007,
1981,3,-0.032,0.001,
1981,4,-0.012,-0.007,
1981,5,0.012,-0.014,
1981,6,-0.009,-0.009,
1981,7,-0.027,-0.008,
1981,8,-0.010,-0.001,
1981,9,-0.004,0.018,
1981,10,0.042,0.039,
1981,11,0.088,0.032,
1981,12,0.079,0.038,
1982,1,-0.044,0.048,
1982,2,0.024,0.053,
1982,3,0.094,0.027,
1982,4,0.111,0.042,
1982,5,-0.048,0.043,
1982,6,0.030,0.029,
1982,7,0.029,0.017,
1982,8,0.021,0.048,
1982,9,0.052,0.071,
1982,10,0.108,0.095,
1982,11,0.144,0.138,
1982,12,0.147,0.183,
1983,1,0.237,0.205,
1983,2,0.278,0.189,
1983,3,0.217,0.173,
1983,4,0.066,0.141,
1983,5,0.066,0.107,
1983,6,0.077,0.081,
1983,7,0.110,0.080,
1983,8,0.084,0.073,
1983,9,0.065,0.105,
1983,10,0.030,0.078,
1983,11,0.234,0.038,
1983,12,-0.022,0.029,
1984,1,-0.118,0.030,
1984,2,0.020,-0.011,
1984,3,0.038,-0.002,
1984,4,0.026,0.024,
1984,5,0.024,0.018,
1984,6,0.011,0.015,
1984,7,-0.008,0.019,
1984,8,0.024,0.026,
1984,9,0.043,0.054,
1984,10,0.058,0.047,
1984,11,0.153,0.017,
1984,12,-0.042,-0.021,
1985,1,-0.129,-0.062,
1985,2,-0.146,-0.098,
1985,3,-0.146,-0.099,
1985,4,-0.028,-0.077,
1985,5,-0.045,-0.047,
1985,6,-0.019,-0.024,
1985,7,0.002,-0.015,
1985,8,-0.029,-0.005,
1985,9,0.013,-0.023,
1985,10,0.005,-0.053,
1985,11,-0.108,-0.037,
1985,12,-0.147,-0.022,
1986,1,0.052,-0.016,
1986,2,0.087,-0.004,
1986,3,0.035,0.028,
1986,4,-0.048,0.020,
1986,5,0.014,0.002,
1986,6,0.013,-0.005,
1986,7,-0.005,0.008,
1986,8,-0.001,-0.002,
1986,9,0.017,-0.016,
1986,10,-0.034,-0.014,
1986,11,-0.055,-0.015,
1986,12,-0.000,-0.011,
1987,1,-0.005,0.009,
1987,2,0.040,0.016,
1987,3,0.067,0.028,
1987,4,-0.023,0.029,
1987,5,0.062,0.035,
1987,6,-0.000,0.024,
1987,7,0.072,0.027,
1987,8,0.012,0.006,
1987,9,-0.009,-0.002,
1987,10,-0.044,-0.015,
1987,11,-0.039,-0.024,
1987,12,0.004,-0.055,
1988,1,-0.031,-0.067,
1988,2,-0.164,-0.059,
1988,3,-0.106,-0.054,
1988,4,-0.001,-0.050,
1988,5,0.032,-0.020,
1988,6,-0.011,-0.003,
1988,7,-0.015,-0.015,
1988,8,-0.020,-0.032,
1988,9,-0.060,-0.020,
1988,10,-0.052,-0.045,
1988,11,0.045,-0.068,
1988,12,-0.138,-0.096,
1989,1,-0.133,-0.077,
1989,2,-0.199,-0.085,
1989,3,0.041,-0.057,
1989,4,0.004,-0.030,
1989,5,0.000,0.010,
1989,6,0.002,-0.004,
1989,7,0.004,-0.007,
1989,8,-0.030,-0.013,
1989,9,-0.012,-0.028,
1989,10,-0.027,-0.056,
1989,11,-0.075,-0.057,
1989,12,-0.137,-0.064,
1990,1,-0.031,-0.075,
1990,2,-0.049,-0.068,
1990,3,-0.085,-0.043,
1990,4,-0.040,-0.025,
1990,5,-0.008,-0.013,
1990,6,0.055,0.007,
1990,7,0.011,0.017,
1990,8,0.016,0.018,
1990,9,0.010,0.009,
1990,10,-0.001,-0.007,
1990,11,0.011,-0.037,
1990,12,-0.071,-0.031,
1991,1,-0.134,-0.029,
1991,2,0.038,-0.037,
1991,3,0.012,-0.030,
1991,4,-0.030,-0.012,
1991,5,-0.035,-0.027,
1991,6,-0.048,-0.020,
1991,7,-0.033,-0.018,
1991,8,0.045,-0.016,
1991,9,-0.022,-0.014,
1991,10,-0.025,-0.012,
1991,11,-0.034,-0.005,
1991,12,-0.024,0.042,
1992,1,0.081,0.058,
1992,2,0.210,0.086,
1992,3,0.058,0.095,
1992,4,0.105,0.083,
1992,5,0.019,0.048,
1992,6,0.023,0.038,
1992,7,0.036,0.020,
1992,8,0.006,0.026,
1992,9,0.016,0.016,
1992,10,0.050,0.009,
1992,11,-0.030,0.013,
1992,12,0.001,0.011,
1993,1,0.030,0.003,
1993,2,0.003,0.030,
1993,3,0.011,0.057,
1993,4,0.104,0.068,
1993,5,0.135,0.068,
1993,6,0.085,0.064,
1993,7,0.005,0.041,
1993,8,-0.007,0.011,
1993,9,-0.011,-0.035,
1993,10,-0.015,-0.039,
1993,11,-0.145,-0.043,
1993,12,-0.016,-0.035,
1994,1,-0.029,-0.038,
1994,2,0.030,-0.015,
1994,3,-0.031,-0.014,
1994,4,-0.031,-0.009,
1994,5,-0.011,-0.020,
1994,6,-0.005,-0.019,
1994,7,-0.024,-0.016,
1994,8,-0.024,-0.015,
1994,9,-0.015,-0.013,
1994,10,-0.005,0.013,
1994,11,0.006,0.050,
1994,12,0.104,0.057,
1995,1,0.162,0.083,
1995,2,0.019,0.080,
1995,3,0.125,0.056,
1995,4,-0.012,0.023,
1995,5,-0.014,0.023,
1995,6,-0.006,-0.002,
1995,7,0.023,0.003,
1995,8,0.001,0.001,
1995,9,0.013,0.006,
1995,10,-0.026,0.024,
1995,11,0.017,0.029,
1995,12,0.115,0.045,
1996,1,0.025,0.039,
1996,2,0.095,0.055,
1996,3,-0.057,0.034,
1996,4,0.099,0.019,
1996,5,0.011,-0.003,
1996,6,-0.053,0.004,
1996,7,-0.014,-0.020,
1996,8,-0.021,-0.021,
1996,9,-0.021,-0.023,
1996,10,0.004,-0.004,
1996,11,-0.064,0.013,
1996,12,0.080,0.001,
1997,1,0.066,0.002,
1997,2,-0.083,0.011,
1997,3,0.012,0.009,
1997,4,-0.019,0.017,
1997,5,0.068,0.044,
1997,6,0.109,0.062,
1997,7,0.049,0.092,
1997,8,0.104,0.113,
1997,9,0.128,0.130,
1997,10,0.174,0.140,
1997,11,0.192,0.170,
1997,12,0.099,0.203,
1998,1,0.257,0.172,
1998,2,0.292,0.130,
1998,3,0.018,0.121,
1998,4,-0.015,0.076,
1998,5,0.055,0.021,
1998,6,0.032,0.013,
1998,7,0.016,0.013,
1998,8,-0.024,-0.004,
1998,9,-0.012,0.014,
1998,10,-0.031,0.001,
1998,11,0.118,0.001,
1998,12,-0.046,0.039,
1999,1,-0.023,0.064,
1999,2,0.175,0.023,
1999,3,0.095,0.021,
1999,4,-0.087,0.021,
1999,5,-0.056,-0.019,
1999,6,-0.020,-0.041,
1999,7,-0.025,-0.038,
1999,8,-0.017,-0.047,
1999,9,-0.073,-0.037,
1999,10,-0.099,-0.048,
1999,11,0.030,-0.054,
1999,12,-0.080,-0.028,
2000,1,-0.046,-0.023,
2000,2,0.055,-0.040,
2000,3,-0.074,-0.020,
2000,4,-0.057,-0.012,
2000,5,0.021,-0.026,
2000,6,-0.003,-0.022,
2000,7,-0.018,-0.019,
2000,8,-0.052,-0.026,
2000,9,-0.041,-0.052,
2000,10,-0.014,-0.071,
2000,11,-0.133,-0.076,
2000,12,-0.115,-0.091,
2001,1,-0.076,-0.107,
2001,2,-0.120,-0.092,
2001,3,-0.091,-0.079,
2001,4,-0.059,-0.073,
2001,5,-0.049,-0.059,
2001,6,-0.047,-0.042,
2001,7,-0.047,-0.036,
2001,8,-0.009,-0.036,
2001,9,-0.028,-0.018,
2001,10,-0.052,-0.002,
2001,11,0.044,-0.002,
2001,12,0.035,-0.009,
2002,1,-0.009,-0.016,
2002,2,-0.064,-0.039,
2002,3,-0.086,-0.059,
2002,4,-0.072,-0.065,
2002,5,-0.066,-0.057,
2002,6,-0.038,-0.047,
2002,7,-0.024,-0.036,
2002,8,-0.036,-0.046,
2002,9,-0.018,-0.040,
2002,10,-0.112,-0.004,
2002,11,-0.008,0.011,
2002,12,0.155,-0.002,
2003,1,0.038,0.027,
2003,2,-0.083,0.049,
2003,3,0.031,0.015,
2003,4,0.104,-0.001,
2003,5,-0.013,0.011,
2003,6,-0.042,0.009,
2003,7,-0.025,-0.016,
2003,8,0.023,-0.003,
2003,9,-0.024,0.001,
2003,10,0.055,0.026,
2003,11,-0.026,0.032,
2003,12,0.102,0.042,
2004,1,0.052,0.019,
2004,2,0.027,0.017,
2004,3,-0.062,-0.001,
2004,4,-0.034,-0.012,
2004,5,0.011,-0.016,
2004,6,-0.001,0.000,
2004,7,0.005,0.013,
2004,8,0.020,0.018,
2004,9,0.032,-0.002,
2004,10,0.032,-0.012,
2004,11,-0.099,-0.008,
2004,12,-0.047,-0.029,
2005,1,0.043,-0.030,
2005,2,-0.073,0.002,
2005,3,0.025,0.032,
2005,4,0.061,0.027,
2005,5,0.105,0.041,
2005,6,0.015,0.032,
2005,7,-0.001,0.009,
2005,8,-0.018,-0.006,
2005,9,-0.056,-0.018,
2005,10,0.029,-0.018,
2005,11,-0.043,0.009,
2005,12,-0.001,0.005,
2006,1,0.119,0.018,
2006,2,-0.081,0.048,
2006,3,0.094,0.049,
2006,4,0.110,0.025,
2006,5,0.005,0.042,
2006,6,-0.001,0.020,
2006,7,0.001,-0.010,
2006,8,-0.016,-0.028,
2006,9,-0.039,-0.008,
2006,10,-0.083,-0.008,
2006,11,0.098,-0.032,
2006,12,-0.000,-0.028,
2007,1,-0.135,-0.029,
2007,2,-0.018,-0.058,
2007,3,-0.090,-0.073,
2007,4,-0.046,-0.053,
2007,5,-0.074,-0.048,
2007,6,-0.036,-0.031,
2007,7,0.005,-0.030,
2007,8,-0.003,-0.016,
2007,9,-0.043,-0.034,
2007,10,-0.001,-0.039,
2007,11,-0.128,-0.038,
2007,12,-0.019,-0.044,
2008,1,0.002,-0.071,
2008,2,-0.075,-0.067,
2008,3,-0.136,-0.074,
2008,4,-0.105,-0.082,
2008,5,-0.057,-0.063,
2008,6,-0.038,-0.024,
2008,7,0.023,-0.009,
2008,8,0.056,-0.011,
2008,9,-0.028,-0.011,
2008,10,-0.070,-0.032,
2008,11,-0.035,-0.075,
2008,12,-0.083,-0.086,
2009,1,-0.160,-0.082,
2009,2,-0.083,-0.097,
2009,3,-0.048,-0.086,
2009,4,-0.113,-0.048,
2009,5,-0.027,-0.034,
2009,6,0.031,-0.024,
2009,7,-0.013,0.000,
2009,8,0.003,0.010,
2009,9,0.007,0.016,
2009,10,0.020,0.010,
2009,11,0.061,0.050,
2009,12,-0.040,0.067,
2010,1,0.202,0.067,
2010,2,0.094,0.076,
2010,3,0.017,0.083,
2010,4,0.105,0.040,
2010,5,-0.001,0.012,
2010,6,-0.016,0.003,
2010,7,-0.048,-0.020,
2010,8,-0.023,-0.022,
2010,9,-0.013,-0.026,
2010,10,-0.011,0.010,
2010,11,-0.033,0.001,
2010,12,0.132,-0.011,
2011,1,-0.071,0.020,
2011,2,-0.073,0.034,
2011,3,0.145,0.011,
2011,4,0.038,0.029,
2011,5,0.017,0.044,
2011,6,0.016,0.012,
2011,7,0.003,0.004,
2011,8,-0.016,0.001,
2011,9,-0.000,-0.004,
2011,10,0.000,-0.044,
2011,11,-0.006,-0.045,
2011,12,-0.196,-0.060,
2012,1,-0.021,-0.042,
2012,2,-0.075,-0.017,
2012,3,0.089,0.020,
2012,4,0.121,0.030,
2012,5,-0.012,0.046,
2012,6,0.025,0.029,
2012,7,0.009,-0.002,
2012,8,0.004,0.006,
2012,9,-0.036,0.016,
2012,10,0.026,0.047,
2012,11,0.078,0.021,
2012,12,0.163,-0.007,
2013,1,-0.128,-0.036,
2013,2,-0.176,-0.064,
2013,3,-0.116,-0.105,
2013,4,-0.063,-0.078,
2013,5,-0.040,-0.045,
2013,6,0.005,-0.019,
2013,7,-0.009,0.009,
2013,8,0.013,0.009,
2013,9,0.077,-0.013,
2013,10,-0.042,-0.053,
2013,11,-0.104,-0.083,
2013,12,-0.212,-0.106,
2014,1,-0.136,-0.095,
2014,2,-0.037,-0.062,
2014,3,0.016,-0.004,
2014,4,0.061,0.025,
2014,5,0.078,0.041,
2014,6,0.008,0.043,
2014,7,0.045,0.045,
2014,8,0.021,0.063,
2014,9,0.071,0.067,
2014,10,0.171,0.089,
2014,11,0.028,0.076,
2014,12,0.154,0.064,
2015,1,-0.045,0.023,
2015,2,0.013,0.015,
2015,3,-0.035,-0.013,
2015,4,-0.012,0.000,
