Year, Month, Interannual_Variation, Five_Month_Average
1933,1,-0.030,
1933,2,-0.107,
1933,3,-0.074,-0.077,
1933,4,-0.067,-0.084,
1933,5,-0.104,-0.073,
1933,6,-0.066,-0.076,
1933,7,-0.052,-0.081,
1933,8,-0.092,-0.085,
1933,9,-0.093,-0.089,
1933,10,-0.122,-0.099,
1933,11,-0.086,-0.093,
1933,12,-0.100,-0.092,
1934,1,-0.061,-0.070,
1934,2,-0.091,-0.051,
1934,3,-0.009,-0.028,
1934,4,0.007,-0.023,
1934,5,0.013,-0.015,
1934,6,-0.035,-0.024,
1934,7,-0.050,-0.029,
1934,8,-0.057,-0.045,
1934,9,-0.015,-0.044,
1934,10,-0.066,-0.037,
1934,11,-0.033,-0.034,
1934,12,-0.016,-0.035,
1935,1,-0.039,-0.028,
1935,2,-0.019,-0.022,
1935,3,-0.035,-0.027,
1935,4,-0.000,-0.019,
1935,5,-0.040,-0.022,
1935,6,0.001,-0.012,
1935,7,-0.037,-0.021,
1935,8,0.018,-0.021,
1935,9,-0.048,-0.032,
1935,10,-0.040,-0.026,
1935,11,-0.050,-0.042,
1935,12,-0.008,-0.034,
1936,1,-0.061,-0.026,
1936,2,-0.009,-0.027,
1936,3,-0.003,-0.026,
1936,4,-0.054,-0.021,
1936,5,-0.005,-0.018,
1936,6,-0.035,-0.015,
1936,7,0.008,-0.004,
1936,8,0.013,-0.003,
1936,9,-0.003,0.008,
1936,10,0.004,0.004,
1936,11,0.018,-0.013,
1936,12,-0.013,-0.017,
1937,1,-0.072,-0.024,
1937,2,-0.023,-0.034,
1937,3,-0.032,-0.027,
1937,4,-0.028,-0.017,
1937,5,0.021,-0.011,
1937,6,-0.021,-0.006,
1937,7,0.006,-0.004,
1937,8,-0.009,-0.014,
1937,9,-0.017,-0.020,
1937,10,-0.028,-0.024,
1937,11,-0.053,-0.021,
1937,12,-0.011,-0.022,
1938,1,0.003,-0.018,
1938,2,-0.018,-0.007,
1938,3,-0.012,-0.006,
1938,4,0.004,-0.006,
1938,5,-0.005,-0.005,
1938,6,-0.001,-0.000,
1938,7,-0.012,-0.004,
1938,8,0.013,-0.012,
1938,9,-0.015,-0.019,
1938,10,-0.045,-0.017,
1938,11,-0.036,-0.025,
1938,12,-0.001,-0.040,
1939,1,-0.030,-0.043,
1939,2,-0.090,-0.036,
1939,3,-0.056,-0.041,
1939,4,-0.003,-0.039,
1939,5,-0.024,-0.026,
1939,6,-0.021,-0.014,
1939,7,-0.025,-0.005,
1939,8,0.003,0.007,
1939,9,0.044,0.025,
1939,10,0.033,0.036,
1939,11,0.072,0.040,
1939,12,0.027,0.036,
1940,1,0.024,0.033,
1940,2,0.025,0.018,
1940,3,0.015,0.016,
1940,4,0.001,0.006,
1940,5,0.013,-0.004,
1940,6,-0.026,-0.007,
1940,7,-0.024,-0.003,
1940,8,0.001,-0.003,
1940,9,0.018,0.010,
1940,10,0.016,0.039,
1940,11,0.037,0.053,
1940,12,0.124,0.078,
1941,1,0.071,0.105,
1941,2,0.142,0.113,
1941,3,0.151,0.100,
1941,4,0.079,0.088,
1941,5,0.058,0.067,
1941,6,0.009,0.047,
1941,7,0.039,0.044,
1941,8,0.048,0.053,
1941,9,0.065,0.070,
1941,10,0.103,0.080,
1941,11,0.093,0.078,
1941,12,0.091,0.073,
1942,1,0.038,0.057,
1942,2,0.040,0.050,
1942,3,0.024,0.027,
1942,4,0.056,0.022,
1942,5,-0.023,0.016,
1942,6,0.011,0.010,
1942,7,0.013,-0.004,
1942,8,-0.005,0.003,
1942,9,-0.019,-0.001,
1942,10,0.016,-0.008,
1942,11,-0.009,-0.003,
1942,12,-0.022,-0.000,
1943,1,0.019,-0.007,
